Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
0,-3.9178,0,8.925,17.067,0
0,-3.9178,0,8.925,18.117,0
0,-3.9178,0,8.925,17.592,0
0,-3.9178,0,9.45,17.592,0
0,-3.9178,0,9.45,17.067,0
0,-3.9178,0,9.975,17.067,0
0,-3.9178,0,9.975,17.592,0
0,-3.9178,0,9.975,18.117,0
0,-3.9178,0,9.45,18.117,0
0,-3.9178,0,8.925,16.542,0
0,-3.9178,0,8.925,16.017,0
0,-3.9178,0,9.45,16.542,0
0,-3.9178,0,9.45,16.017,0
0,-3.9178,0,9.975,16.017,0
0,-3.9178,0,9.975,16.542,0
0,-3.9178,0,8.925,15.492,0
0,-3.9178,0,8.925,14.967,0
0,-3.9178,0,8.925,14.442,0
0,-3.9178,0,9.45,15.492,0
0,-3.9178,0,9.45,14.967,0
0,-3.9178,0,9.45,14.442,0
0,-3.9178,0,9.975,14.442,0
0,-3.9178,0,9.975,14.967,0
0,-3.9178,0,9.975,15.492,0
0,-3.9178,0,8.925,13.917,0
0,-3.9178,0,8.925,13.392,0
0,-3.9178,0,9.45,13.917,0
0,-3.9178,0,9.45,13.392,0
0,-3.9178,0,9.975,13.392,0
0,-3.9178,0,9.975,13.917,0
0,-3.9178,0,8.4,13.392,0
0,-3.9178,0,8.4,13.917,0
0,-3.9178,0,7.875,13.917,0
0,-3.9178,0,7.875,13.392,0
0,-3.9178,0,8.4,14.442,0
0,-3.9178,0,8.4,14.967,0
0,-3.9178,0,8.4,15.492,0
0,-3.9178,0,7.875,15.492,0
0,-3.9178,0,7.875,14.967,0
0,-3.9178,0,7.875,14.442,0
0,-3.9178,0,8.4,16.017,0
0,-3.9178,0,8.4,16.542,0
0,-3.9178,0,7.875,16.542,0
0,-3.9178,0,7.875,16.017,0
0,-3.9178,0,8.4,17.067,0
0,-3.9178,0,8.4,17.592,0
0,-3.9178,0,8.4,18.117,0
0,-3.9178,0,7.875,18.117,0
0,-3.9178,0,7.875,17.592,0
0,-3.9178,0,7.875,17.067,0
0,-3.9178,0,8.4,18.642,0
0,-3.9178,0,8.4,19.167,0
0,-3.9178,0,7.875,19.167,0
0,-3.9178,0,7.875,18.642,0
0,-3.9178,0,7.35,13.392,0
0,-3.9178,0,7.35,13.917,0
0,-3.9178,0,6.825,13.917,0
0,-3.9178,0,6.825,13.392,0
0,-3.9178,0,6.3,13.392,0
0,-3.9178,0,6.3,13.917,0
0,-3.9178,0,7.35,14.442,0
0,-3.9178,0,7.35,14.967,0
0,-3.9178,0,7.35,15.492,0
0,-3.9178,0,6.825,15.492,0
0,-3.9178,0,6.825,14.967,0
0,-3.9178,0,6.825,14.442,0
0,-3.9178,0,6.3,14.442,0
0,-3.9178,0,6.3,14.967,0
0,-3.9178,0,6.3,15.492,0
0,-3.9178,0,7.35,16.017,0
0,-3.9178,0,7.35,16.542,0
0,-3.9178,0,6.825,16.542,0
0,-3.9178,0,6.825,16.017,0
0,-3.9178,0,6.3,16.017,0
0,-3.9178,0,6.3,16.542,0
0,-3.9178,0,7.35,17.067,0
0,-3.9178,0,7.35,17.592,0
0,-3.9178,0,7.35,18.117,0
0,-3.9178,0,6.825,18.117,0
0,-3.9178,0,6.825,17.592,0
0,-3.9178,0,6.825,17.067,0
0,-3.9178,0,6.3,17.067,0
0,-3.9178,0,6.3,17.592,0
0,-3.9178,0,6.3,18.117,0
0,-3.9178,0,7.35,18.642,0
0,-3.9178,0,7.35,19.167,0
0,-3.9178,0,6.825,19.167,0
0,-3.9178,0,6.825,18.642,0
0,-3.9178,0,6.3,18.642,0
0,-3.9178,0,6.3,19.167,0
0,-3.9178,0,5.775,19.167,0
0,-3.9178,0,5.775,18.642,0
0,-3.9178,0,5.775,18.117,0
0,-3.9178,0,5.775,17.592,0
0,-3.9178,0,5.775,17.067,0
0,-3.9178,0,5.775,16.542,0
0,-3.9178,0,5.775,16.017,0
0,-3.9178,0,5.775,15.492,0
0,-3.9178,0,5.775,14.967,0
0,-3.9178,0,5.775,14.442,0
0,-3.9178,0,5.775,13.917,0
0,-3.9178,0,5.775,13.392,0
0,-3.9178,0,8.925,19.167,0
0,-3.9178,0,8.925,18.642,0
0,-3.9178,0,9.975,18.642,0
0,-3.9178,0,9.975,19.167,0
0,-3.9178,0,9.45,19.167,0
0,-3.9178,0,9.45,18.642,0
0,-3.9178,0,10.5,19.167,0
0,-3.9178,0,10.5,18.642,0
0,-3.9178,0,11.025,18.642,0
0,-3.9178,0,11.025,19.167,0
0,-3.9178,0,10.5,18.117,0
0,-3.9178,0,10.5,17.592,0
0,-3.9178,0,10.5,17.067,0
0,-3.9178,0,11.025,17.067,0
0,-3.9178,0,11.025,17.592,0
0,-3.9178,0,11.025,18.117,0
0,-3.9178,0,10.5,16.542,0
0,-3.9178,0,10.5,16.017,0
0,-3.9178,0,11.025,16.017,0
0,-3.9178,0,11.025,16.542,0
0,-3.9178,0,10.5,15.492,0
0,-3.9178,0,10.5,14.967,0
0,-3.9178,0,10.5,14.442,0
0,-3.9178,0,11.025,14.442,0
0,-3.9178,0,11.025,14.967,0
0,-3.9178,0,11.025,15.492,0
0,-3.9178,0,10.5,13.917,0
0,-3.9178,0,10.5,13.392,0
0,-3.9178,0,11.025,13.392,0
0,-3.9178,0,11.025,13.917,0
