Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
-8.3466,0.38603,0,2.2352,6.2744,0
-7.3806,-1.6747,0,3.184,6.183,0
-3.0922,-0.55955,0,4.8144,5.9741,0
-4.1333,-1.1693,0,6.3762,6.0948,0
1.3328,5.409,0,7.5616,6.2967,0
-2.1689,4.6014,0,9.2125,6.2957,0
4.3507,-1.6319,0,10.441,6.0674,0
3.1468,-0.50015,0,11.987,5.9765,0
7.3855,-1.6761,0,13.616,6.1829,0
8.3474,0.38568,0,14.565,6.2745,0
-0.0052861,2.6095,0,8.3999,9.8343,0
-0.022791,0.82819,0,8.3989,9.3869,0
0.00070384,0.85524,0,8.3994,9.9093,0
0.072266,1.9326,0,8.4108,9.0823,0
-0.044876,1.9117,0,8.3905,8.9652,0
2.377,-3.8214,0,9.9701,7.689,0
0.67919,2.1013,0,9.4247,7.7287,0
-0.13441,-0.024749,0,9.4136,7.7649,0
0.01965,0.03222,0,8.3913,8.1944,0
0.61699,-0.1049,0,8.4123,7.8095,0
0.11916,1.5656,0,8.4053,8.167,0
-0.58471,1.4271,0,7.4083,7.7135,0
-1.87,-5.9203,0,6.6926,7.6686,0
-0.63097,0.58602,0,7.3889,7.7809,0
-2.6714,-3.7929,0,6.8197,7.6926,0
2.3169,-5.7139,0,10.12,7.6726,0
-0.31518,1.2348,0,9.7959,6.6546,0
-0.57279,-0.18507,0,8.8263,6.6009,0
1.4559,0.94542,0,9.3674,7.0015,0
-1.1665,0.43458,0,8.9959,7.1744,0
-1.6574,-4.3756,0,9.6892,6.3608,0
-1.015,0.078371,0,7.8387,6.5463,0
1.4293,4.6354,0,8.7869,7.2449,0
0.43376,2.6797,0,8.1302,6.7774,0
-1.4301,2.0802,0,8.0933,7.5171,0
1.2045,0.1699,0,7.8706,7.1786,0
0.72971,1.8693,0,8.5811,6.3442,0
-0.23239,-4.6914,0,6.5592,7.0065,0
0.27896,1.4823,0,6.9888,6.6718,0
-1.6739,1.5564,0,7.4639,7.0909,0
1.0973,-3.8188,0,7.1045,6.3569,0
-2.3528,-1.2991,0,5.9446,6.478,0
-3.0214,0.0084102,0,5.5584,6.6227,0
-3.3959,-0.59023,0,5.0752,7.2661,0
-3.1735,-0.64765,0,5.888,7.1244,0
-2.099,-1.7877,0,5.4124,7.1936,0
-5.7441,-0.28749,0,5.3529,6.389,0
-3.6727,-2.431,0,6.2251,6.907,0
2.5126,-1.247,0,10.866,6.4766,0
3.8231,-2.1747,0,10.588,6.9183,0
3.0891,-0.44755,0,10.908,7.1309,0
3.0723,0.066271,0,11.243,6.6253,0
0.70751,-4.7197,0,10.254,7.0149,0
5.5403,-1.5346,0,12.593,6.6698,0
4.3731,0.029107,0,11.928,6.9238,0
3.4468,-0.56781,0,11.726,7.2669,0
5.5847,0.24853,0,12.349,7.0366,0
4.7064,-0.35284,0,12.367,6.5222,0
5.8177,-0.34134,0,11.451,6.384,0
2.1844,-1.6788,0,11.387,7.1963,0
-4.6841,-0.37398,0,4.4312,6.5223,0
-4.3536,-0.011193,0,4.872,6.924,0
-5.5787,0.21329,0,4.4507,7.0364,0
-6.3152,-2.023,0,3.8061,6.8901,0
-5.5085,-1.5419,0,4.2076,6.67,0
7.9868,-1.242,0,13.425,6.7896,0
6.3251,-2.0036,0,12.994,6.89,0
5.0698,-0.21843,0,13.213,6.4434,0
-7.9783,-1.2474,0,3.3742,6.7898,0
-5.0724,-0.21453,0,3.5859,6.4437,0
-7.434,-1.9094,0,2.9303,6.502,0
7.3039,-1.0389,0,14.335,6.7969,0
8.5356,-0.26857,0,14.758,6.4925,0
7.4381,-1.9108,0,13.87,6.5016,0
-8.5327,-0.2697,0,2.0421,6.4924,0
-8.8768,-1.9013,0,1.3816,6.5703,0
-7.3056,-1.0445,0,2.4648,6.7971,0
10.798,1.265,0,16.162,6.4282,0
8.8773,-1.904,0,15.418,6.5701,0
9.7436,-1.0653,0,15.957,6.7417,0
10.633,-1.6431,0,15.586,6.535,0
-11.152,-2.4621,0,0.27062,6.3293,0
-10.798,1.2677,0,0.63796,6.4282,0
-9.742,-1.0613,0,0.84332,6.7418,0
-10.628,-1.6432,0,1.2144,6.535,0
11.152,-2.4714,0,16.53,6.3287,0
-12.76,-2.0306,0,-1.0938,6.4541,0
12.557,-2.5475,0,17.891,6.4088,0
-15.781,-3.1599,0,-1.0743,6.2037,0
-14.43,2.0621,0,-1.7193,6.3327,0
10.418,-6.8163,0,18.447,5.8515,0
15.623,1.1876,0,18.555,6.235,0
18.256,-3.7556,0,18.263,6.0627,0
15.791,-3.483,0,17.899,6.1911,0
-10.844,-6.4566,0,-1.6117,5.8862,0
-17.907,-3.6204,0,-1.4491,6.0635,0
10.248,-7.3077,0,19.526,5.0827,0
11.326,-4.1694,0,19.642,5.7402,0
15.014,-6.1444,0,19.627,5.2324,0
15.529,-5.8485,0,19.534,5.6937,0
-14.263,-4.397,0,-2.9487,5.3036,0
-10.936,-6.5537,0,-2.7526,5.8735,0
-11.466,-4.4388,0,-2.7382,5.2091,0
-16.797,-5.9109,0,-2.8157,5.7751,0
-17.325,-2.6559,0,-4.9406,5.7525,0
-19.267,-3.9773,0,-4.9936,5.8932,0
18.553,-4.4466,0,21.871,6.0245,0
19.206,-4.0029,0,21.779,5.8774,0
17.374,-2.6156,0,21.736,5.7384,0
-18.658,-4.2589,0,-5.0797,6.0336,0
-21.449,-2.1009,0,-7.5055,5.2779,0
-23.597,-10.142,0,-7.5738,4.9166,0
24.085,-9.8693,0,24.373,4.8317,0
26.837,-6.7125,0,25.126,5.0024,0
22.986,-2.1097,0,24.592,5.1535,0
21.31,-3.9279,0,24.309,5.112,0
-26.964,-6.8637,0,-8.331,5.0055,0
-24.084,-7.5437,0,-8.4521,5.0565,0
-23.185,-2.2727,0,-7.7748,5.2169,0
24.863,-4.7389,0,27.709,6.8841,0
18.927,-4.6868,0,26.188,4.0648,0
21.078,-7.0269,0,26.432,4.7812,0
23.505,-7.893,0,26.3,4.8415,0
23.588,-5.2658,0,25.795,4.9619,0
23.987,-7.4508,0,25.253,5.0625,0
-21.695,2.0246,0,-10.978,6.9675,0
-24.895,-4.7178,0,-10.919,6.8917,0
-21.156,-6.9559,0,-9.6276,4.8242,0
-18.975,-4.7626,0,-9.3777,4.0748,0
-23.454,-7.7355,0,-9.5049,4.8777,0
-23.303,-5.1902,0,-8.9801,4.9849,0
21.657,1.9994,0,27.767,6.9617,0
