Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
-9.7879,-10.418,0.23284,1.0968,1.6813,7.1841
-12.556,-8.8109,-1.3759,0.066709,2.7126,7.0906
-8.4366,-10.229,-1.0388,2.3396,2.4226,7.1236
-11.587,-6.6802,0.5777,1.3486,4.404,7.0228
-7.1741,-6.8652,-2.0964,3.3047,4.2446,7.1151
-4.784,-12.637,-1.1569,5.2449,1.2322,7.0506
-2.7926,-12.117,-1.6319,6.4936,0.98279,7.071
-2.9737,-10.712,-2.4498,6.2904,2.6633,7.0958
-2.7106,-10.712,-2.6668,6.7034,2.0826,7.1384
-1.8778,-13.005,-0.83304,7.4426,0.83615,7.1343
8.0755e-14,-14.765,-1.3926,9,-0.010572,7.1952
-0.74562,-10.366,-1.8552,7.8217,2.5157,7.0853
6.646e-15,-9.504,-1.6676,9,2.5467,7.0992
1.8778,-13.005,-0.83304,10.557,0.83615,7.1343
0.74562,-10.366,-1.8552,10.178,2.5157,7.0853
2.7926,-12.117,-1.6319,11.506,0.98279,7.071
2.9737,-10.712,-2.4498,11.71,2.6633,7.0958
2.7106,-10.712,-2.6668,11.297,2.0826,7.1384
-12.43,-3.5048e-14,-0.9696,0.82231,9,6.9812
-10.338,-2.5717,-0.79564,1.8675,7.0505,7.035
-10.124,7.526e-14,-0.30378,2.4331,9,7.0494
-8.2717,2.5436e-13,0.10415,2.6231,9,7.1003
-10.338,2.5717,-0.79564,1.8675,10.949,7.035
-7.0837,-2.0236,0.46719,3.8247,7.1044,6.9532
-6.3794,5.8082e-13,-0.86558,4.1571,9,7.0934
-6.2397,-1.6735,0.35558,4.0569,7.5379,7.1913
-4.1569,-2.0401e-13,-0.68992,5.3451,9,7.1359
-6.2397,1.6735,0.35558,4.0569,10.462,7.1913
-7.0837,2.0236,0.46719,3.8247,10.896,6.9532
-5.5187,-3.6338,-0.82162,5.4285,6.9116,7.0307
-2.3598e-13,-3.4878,-3.4388,9,6.1977,7.1706
-5.4163e-13,-7.8689e-13,-0.060453,9,9,6.9439
0.88826,2.2509e-13,-2.8958,7.5884,9,6.7336
-5.5187,3.6338,-0.82162,5.4285,11.088,7.0307
-3.7495e-13,3.4878,-3.4388,9,11.802,7.1706
5.5187,-3.6338,-0.82162,12.571,6.9116,7.0307
-0.88826,4.4853e-12,-2.8958,10.412,9,6.7336
5.5187,3.6338,-0.82162,12.571,11.088,7.0307
-11.587,6.6802,0.5777,1.3486,13.596,7.0228
-7.1741,6.8652,-2.0964,3.3047,13.755,7.1151
-12.556,8.8109,-1.3759,0.066709,15.287,7.0906
-9.7879,10.418,0.23284,1.0968,16.319,7.1841
-8.4366,10.229,-1.0388,2.3396,15.577,7.1236
-4.784,12.637,-1.1569,5.2449,16.768,7.0506
-2.9737,10.712,-2.4498,6.2904,15.337,7.0958
-2.7106,10.712,-2.6668,6.7034,15.917,7.1384
-2.7926,12.117,-1.6319,6.4936,17.017,7.071
-0.74562,10.366,-1.8552,7.8217,15.484,7.0853
6.5521e-14,9.504,-1.6676,9,15.453,7.0992
-1.8778,13.005,-0.83304,7.4426,17.164,7.1343
4.2198e-14,14.765,-1.3926,9,18.011,7.1952
0.74562,10.366,-1.8552,10.178,15.484,7.0853
1.8778,13.005,-0.83304,10.557,17.164,7.1343
2.9737,10.712,-2.4498,11.71,15.337,7.0958
2.7106,10.712,-2.6668,11.297,15.917,7.1384
2.7926,12.117,-1.6319,11.506,17.017,7.071
4.784,-12.637,-1.1569,12.755,1.2322,7.0506
8.4366,-10.229,-1.0388,15.66,2.4226,7.1236
9.7879,-10.418,0.23284,16.903,1.6813,7.1841
12.556,-8.8109,-1.3759,17.933,2.7126,7.0906
7.1741,-6.8652,-2.0964,14.695,4.2446,7.1151
11.587,-6.6802,0.5777,16.651,4.404,7.0228
7.0837,-2.0236,0.46719,14.175,7.1044,6.9532
6.3794,6.9837e-13,-0.86558,13.843,9,7.0934
6.2397,-1.6735,0.35558,13.943,7.5379,7.1913
4.1569,-2.1324e-13,-0.68992,12.655,9,7.1359
6.2397,1.6735,0.35558,13.943,10.462,7.1913
7.0837,2.0236,0.46719,14.175,10.896,6.9532
10.338,-2.5717,-0.79564,16.132,7.0505,7.035
10.124,4.6561e-15,-0.30378,15.567,9,7.0494
8.2717,1.8394e-13,0.10415,15.377,9,7.1003
12.43,-9.1703e-14,-0.9696,17.178,9,6.9812
10.338,2.5717,-0.79564,16.132,10.949,7.035
4.784,12.637,-1.1569,12.755,16.768,7.0506
7.1741,6.8652,-2.0964,14.695,13.755,7.1151
11.587,6.6802,0.5777,16.651,13.596,7.0228
8.4366,10.229,-1.0388,15.66,15.577,7.1236
