Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
-12.653,-0.91353,0,0.031761,4.218,0
-11.719,0.61361,0,0.26063,4.2324,0
-10.878,-0.20139,0,0.50424,4.3115,0
-11.226,-0.23033,0,0.35221,4.1339,0
-10.095,0.28039,0,0.67272,4.2613,0
-10.265,-1.1454,0,0.70709,4.232,0
-9.8407,-0.31659,0,0.99777,4.1678,0
-10.857,-0.4861,0,0.88108,4.2121,0
-10.607,0.17895,0,1.187,4.3192,0
-9.147,0.94364,0,1.3226,4.1765,0
-10.482,-1.004,0,1.2527,4.249,0
-9.0919,-0.2594,0,1.6169,4.2061,0
-9.6769,-0.12872,0,1.5056,4.2161,0
-10.457,0.065884,0,1.7867,4.2069,0
-7.9695,-0.82581,0,1.8711,4.2176,0
-9.0784,0.62852,0,2.1413,4.2769,0
-9.2978,1.1144,0,2.1098,4.1552,0
-8.494,-0.40235,0,2.4006,4.2946,0
-8.5762,-1.0632,0,2.3406,4.1936,0
-7.0843,0.14655,0,2.614,4.2823,0
-7.5069,0.50229,0,2.5484,4.1639,0
-6.7623,-0.99626,0,2.7511,4.2394,0
-6.5645,-1.6286,0,2.8315,4.2563,0
-6.8522,-1.2524,0,3.1751,4.2042,0
-6.4436,0.89697,0,3.0389,4.2806,0
-6.6277,0.46281,0,2.9894,4.1582,0
-5.5697,-0.94602,0,3.3437,4.193,0
-6.3921,-0.37582,0,3.2388,4.301,0
-6.2358,-0.83228,0,3.5238,4.2425,0
-7.3974,-0.0067146,0,3.4229,4.3148,0
-6.0437,0.97262,0,3.7374,4.1537,0
-6.5537,-0.56907,0,3.73,4.2705,0
-5.2471,0.29866,0,3.9473,4.1899,0
-3.619,-0.13638,0,4.146,4.2019,0
-4.7159,1.067,0,4.2499,4.2405,0
-5.3132,-0.73548,0,4.0098,4.275,0
-3.6657,-0.18468,0,4.4849,4.2085,0
-4.1063,0.040084,0,4.3421,4.2531,0
-4.4993,0.20092,0,4.627,4.1918,0
-2.4045,-0.71487,0,4.966,4.2919,0
-2.9411,-0.069406,0,4.7089,4.2764,0
-4.251,0.036776,0,4.838,4.1921,0
-3.9288,-1.5233,0,5.0247,4.1625,0
-1.9718,0.15268,0,5.2053,4.1925,0
-3.702,-0.44246,0,5.3711,4.1634,0
-2.9214,-0.64966,0,5.1655,4.3052,0
