Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
0,-1.9564,0,15,8.8048,0
0,-1.9564,0,15,8.0548,0
0,-1.9564,0,15,7.3048,0
0,-1.9564,0,15.75,8.8048,0
0,-1.9564,0,15.75,8.0548,0
0,-1.9564,0,15.75,7.3048,0
0,-1.9564,0,15,6.5548,0
0,-1.9564,0,15,5.8048,0
0,-1.9564,0,15.75,6.5548,0
0,-1.9564,0,15.75,5.8048,0
0,-1.9564,0,15,5.0548,0
0,-1.9564,0,15,4.3048,0
0,-1.9564,0,15,3.5548,0
0,-1.9564,0,15.75,5.0548,0
0,-1.9564,0,15.75,4.3048,0
0,-1.9564,0,15.75,3.5548,0
0,-1.9564,0,15,2.8048,0
0,-1.9564,0,15,2.0548,0
0,-1.9564,0,15.75,2.8048,0
0,-1.9564,0,15.75,2.0548,0
0,-1.9564,0,15,1.3048,0
0,-1.9564,0,15,0.55485,0
0,-1.9564,0,15.75,1.3048,0
0,-1.9564,0,15.75,0.55485,0
0,-1.9564,0,14.25,0.55485,0
0,-1.9564,0,14.25,1.3048,0
0,-1.9564,0,13.5,1.3048,0
0,-1.9564,0,13.5,0.55485,0
0,-1.9564,0,12.75,0.55485,0
0,-1.9564,0,12.75,1.3048,0
0,-1.9564,0,14.25,2.0548,0
0,-1.9564,0,14.25,2.8048,0
0,-1.9564,0,13.5,2.8048,0
0,-1.9564,0,13.5,2.0548,0
0,-1.9564,0,12.75,2.0548,0
0,-1.9564,0,12.75,2.8048,0
0,-1.9564,0,14.25,3.5548,0
0,-1.9564,0,14.25,4.3048,0
0,-1.9564,0,14.25,5.0548,0
0,-1.9564,0,13.5,5.0548,0
0,-1.9564,0,13.5,4.3048,0
0,-1.9564,0,13.5,3.5548,0
0,-1.9564,0,12.75,3.5548,0
0,-1.9564,0,12.75,4.3048,0
0,-1.9564,0,12.75,5.0548,0
0,-1.9564,0,14.25,5.8048,0
0,-1.9564,0,14.25,6.5548,0
0,-1.9564,0,13.5,6.5548,0
0,-1.9564,0,13.5,5.8048,0
0,-1.9564,0,12.75,5.8048,0
0,-1.9564,0,12.75,6.5548,0
0,-1.9564,0,14.25,7.3048,0
0,-1.9564,0,14.25,8.0548,0
0,-1.9564,0,14.25,8.8048,0
0,-1.9564,0,13.5,8.8048,0
0,-1.9564,0,13.5,8.0548,0
0,-1.9564,0,13.5,7.3048,0
0,-1.9564,0,12.75,7.3048,0
0,-1.9564,0,12.75,8.0548,0
0,-1.9564,0,12.75,8.8048,0
0,-1.9564,0,14.25,9.5548,0
0,-1.9564,0,14.25,10.305,0
0,-1.9564,0,13.5,10.305,0
0,-1.9564,0,13.5,9.5548,0
0,-1.9564,0,12.75,9.5548,0
0,-1.9564,0,12.75,10.305,0
0,-1.9564,0,14.25,11.055,0
0,-1.9564,0,14.25,11.805,0
0,-1.9564,0,13.5,11.805,0
0,-1.9564,0,13.5,11.055,0
0,-1.9564,0,12.75,11.055,0
0,-1.9564,0,12.75,11.805,0
0,-1.9564,0,14.25,12.555,0
0,-1.9564,0,14.25,13.305,0
0,-1.9564,0,14.25,14.055,0
0,-1.9564,0,13.5,14.055,0
0,-1.9564,0,13.5,13.305,0
0,-1.9564,0,13.5,12.555,0
0,-1.9564,0,12.75,12.555,0
0,-1.9564,0,12.75,13.305,0
0,-1.9564,0,12.75,14.055,0
0,-1.9564,0,14.25,14.805,0
0,-1.9564,0,14.25,15.555,0
0,-1.9564,0,13.5,15.555,0
0,-1.9564,0,13.5,14.805,0
0,-1.9564,0,12.75,14.805,0
0,-1.9564,0,12.75,15.555,0
0,-1.9564,0,14.25,16.305,0
0,-1.9564,0,14.25,17.055,0
0,-1.9564,0,13.5,17.055,0
0,-1.9564,0,13.5,16.305,0
0,-1.9564,0,12.75,16.305,0
0,-1.9564,0,12.75,17.055,0
0,-1.9564,0,12,17.055,0
0,-1.9564,0,12,16.305,0
0,-1.9564,0,11.25,16.305,0
0,-1.9564,0,11.25,17.055,0
0,-1.9564,0,12,15.555,0
0,-1.9564,0,12,14.805,0
0,-1.9564,0,11.25,14.805,0
0,-1.9564,0,11.25,15.555,0
0,-1.9564,0,12,14.055,0
0,-1.9564,0,12,13.305,0
0,-1.9564,0,12,12.555,0
0,-1.9564,0,11.25,12.555,0
0,-1.9564,0,11.25,13.305,0
0,-1.9564,0,11.25,14.055,0
0,-1.9564,0,12,11.805,0
0,-1.9564,0,12,11.055,0
0,-1.9564,0,11.25,11.055,0
0,-1.9564,0,11.25,11.805,0
0,-1.9564,0,12,10.305,0
0,-1.9564,0,12,9.5548,0
0,-1.9564,0,11.25,9.5548,0
0,-1.9564,0,11.25,10.305,0
0,-1.9564,0,12,8.8048,0
0,-1.9564,0,12,8.0548,0
0,-1.9564,0,12,7.3048,0
0,-1.9564,0,11.25,7.3048,0
0,-1.9564,0,11.25,8.0548,0
0,-1.9564,0,11.25,8.8048,0
0,-1.9564,0,12,6.5548,0
0,-1.9564,0,12,5.8048,0
0,-1.9564,0,11.25,5.8048,0
0,-1.9564,0,11.25,6.5548,0
0,-1.9564,0,12,5.0548,0
0,-1.9564,0,12,4.3048,0
0,-1.9564,0,12,3.5548,0
0,-1.9564,0,11.25,3.5548,0
0,-1.9564,0,11.25,4.3048,0
0,-1.9564,0,11.25,5.0548,0
0,-1.9564,0,12,2.8048,0
0,-1.9564,0,12,2.0548,0
0,-1.9564,0,11.25,2.0548,0
0,-1.9564,0,11.25,2.8048,0
0,-1.9564,0,12,1.3048,0
0,-1.9564,0,12,0.55485,0
0,-1.9564,0,11.25,0.55485,0
0,-1.9564,0,11.25,1.3048,0
0,-1.9564,0,10.5,17.055,0
0,-1.9564,0,10.5,16.305,0
